Reported on,Co. Name,Ext. Requestor,Property Name,Category,Order Group Description,Floor/unit or space,"Breakdown?
(Yes/No)",Description,Nature of feedback/complants (& Finding),Action taken,Start date & time,Acknowledged date,Technically completed on,Status,Customer/ FED Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 14:12,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,Air Conditioning,,No,Leak from ceiling,Connexis North Level 21 along toilet corridor water leaking on the ceiling.,,,2/27/2017 14:17,3/2/2017 19:22,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 16:13,,,Centros,Feedback,Sanitory Plumbing,,,Leak from pipe,"a) #01 G/T Urinal no. 1:  To replace 2 nos of elbow coupling for tubing, 1 no. of piston assembly, 1 no. of solenoid valve, 1 no. of sensor assembly and 1 no. of power supply unit
b) B3 near beam no. 30: To replace pipe and flange (Labour to take down and remove pipe)
c) B3 near lot no. 530 - 532: To replace pipe and flange (Labour to take down and remove pipe)
d) #01 Handicap: To replace 1 no. of tap
RA: SA/GF/01/02/05/07/15 SO:17-73305 FEMS: 11980.01",,,2/27/2017 16:31,3/15/2017 10:20,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 16:40,NANYANG TECHNOLOGICAL UNIVERSITY - NTUITIVE PTE.,Ms Evelyn,CleanTech 1,Compliment,Building,,,Compliment to FMC for promptness in response,Ms Eveyln emailed Shidah to change directional arrow for unit #04-11. Kapil assisted to change on the directional arrow at level 4 tenant edirectory,,,3/3/2017 11:14,3/3/2017 11:14,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 17:41,,,Centros,Feedback,Sanitory Plumbing,,,Floor Trap Choked,"BigMama feedback on water backflow to their unit due to their sanitary waste pipe line is choked.  The pipeline is long and tenants have difficulties in clearing the pipeline from the grease interceptor.  Thus, we need to redivert the pipe line to the dvr room at b1.
RA: SA/GF/07 SO:17-73306 FEMS:11983.01",,,2/28/2017 14:13,,In progress,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 21:12,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Yvonne,CleanTech 1,Compliment,Building,,,Compliments by Yvonne from NTU ERI@N,"FMC/JTC complimented by Yvonne from NTU ERI@N for supporting their request to reserve 1 lot at the CTO Lobby on 17 Feb for their BMW I3, to provide access to mailroom and usage of power plug for presentation of their driverless vehicles at SEAS E-mobility seminar",,,3/3/2017 11:14,3/3/2017 11:14,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 21:29,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Shann Law,CleanTech 1,Compliment,Building,,,Compliments to FMC/JTC for granting permission of foyer area outside Seminar Room 2,Compliments to FMC/JTC for granting permission for usage of foyer area outside Seminar Room 2 for tea reception on 7 March 4.30pm-5.45pm,,,3/3/2017 11:15,3/3/2017 11:15,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 21:46,NANYANG TECHNOLOGICAL UNIVERSITY (NEWRI & ERI@N),Meli Nurhidayah Amaradasa,CleanTech 1,Compliment,Building,,,Compliments by Meli NTU ERI@N,Ms Meli complimented Catherine for prompt response to her request for soft copy of tenant handover form for #02-24,,,3/3/2017 11:15,3/3/2017 11:15,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 8:36,SUSTAINABLE ENERGY ASSOCIATION OF SINGAPORE (SEAS,Agnes Seah,CleanTech 1,Compliment,Building,,,Compliments by SEAS,Compliments to the FMC for prompt response and support for their seminar for E-mobility event on 17 Feb,,,3/3/2017 11:16,3/3/2017 11:16,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 10:28,,,ARC51,Feedback,lighting,,,JTCG12-00471-B51-Block Lighting (December Defects),JTCG12-00471-Replacement of faulty bulbs and accessories for  lightings at various common areas from L1 to 7.,,,,,Assigned,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 10:31,,,Proteos,Feedback,Sanitory Plumbing,,,Leak from pipe,"a) #01 driveway: To flush the manhole 
b) B1 Compressor Room: To repair pipe leaking
c) B3 near beam no. 49 & 65: To repair pipe leaking
d) #02 G/T: To repair leaking by replacing 2 nos of inlet spud and wall flange
RA: SA/GF/03/06/15 SO:17-73308 FEMS:11992.01",,,2/28/2017 10:42,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 10:44,,,Helios,Feedback,Sanitory Plumbing,,,Multiple sanitary parts replacement,"a) #01 G/T: To redo the sides of the basins due to silicon due to wear and tear (Labour)
b) #08 G/T: To redo the sides of the basins due to silicon due to wear and tear (Labour)
c) #04 Corridor: To replace 1 no. of copper pipe and elbow (Labour)
d) #10 L/T WC no. 3: To replace 1 no. of piston assembly
e) #03 G/T WC no. 1: To replace 1 no. of piston assembly
f) #06 Pantry & G/T: To clear main gully choke
g) #03 G/T Urinal no. 3: To repair leaking by replacing 1 no. of inlet spud and 1 no. of wall flange (Labour to dismantle the urinal bowl and fix back)
h) #04 G/T Urinal no. 3: To repair leaking by replacing 1 no. of inlet spud and 1 no. of wall flange (Labour to dismantle the urinal bowl and fix back)
i) #10 G/T Urinal no. 3: To repair leaking by replacing 1 no. of inlet spud and 1 no. of wall flange (Labour to dismantle the urinal bowl and fix back)
j) #10 G/T WC no. 3: To service the defective flush valve (Labour)
RA: SA/GF/02/03/06/07/15 SO:17-73309 FEMS:11993.00",,,2/28/2017 14:10,3/3/2017 15:43,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 10:55,,Ms Ally,The JTC Summit,Feedback,Air Conditioning,,No,OTHERS: Air con is not working,PE Anthony has already checked with tenant and the temperature (24 deg) is accepted. No adjustment required.,,,,3/8/2017 11:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:02,,,Matrix,Others/Request for Information,Toilet,Food & Beverage (F&B),,Refill hand towel,"As an initiative to provide paper towels as to clean up the tables to reduce the turn over time in Mealbox
during peak hours, to supply 5 nos of paper towels at Mealbox. (Dec 2016). RA: KP15-RA/001 FEMS:11994.01",,,2/28/2017 11:09,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:10,,,Chromos,Feedback,Toilet,,,Refill hand towel,"As an initiative to provide paper towels to the toilets in Biopolis, to supply 64 nos of paper towels at all
toilets in Biopolis. (Dec 2016). RA: KP15-RA/001 SO:17-73310 FEMS:11995.01",,,2/28/2017 11:18,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:20,,,Chromos,Feedback,Toilet,,,Refill hand towel,"As an initiative to provide paper towels in Biopolis (Jan 2017):
All toilets in Biopolis: 71 nos
Mealbox: 5 nos 
RA: KP15-RA/001 SO:17-73311 FEMS:11996.01",,,2/28/2017 11:28,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:20,,,SE-HUB,Feedback,lighting,,,SMM/SEH/02-146 - To replace faulty Exit lights & toilet motion sensor at SEH,"FEMS 12000, SMM/SEH/02-146 - To replace faulty Exit lights & toilet motion sensor at SEH",,,3/1/2017 13:55,3/21/2017 11:03,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:20,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Arif,Matrix,Feedback,Building,Common Area,,Door handle loose / broken,L5 Skybridge door - Door handle loose.,,,2/28/2017 11:22,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:27,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S),Arif,Matrix,Feedback,Toilet,Female Washroom 1,,Soap dispenser faulty,Level 5 Female Toilet - 2 no. soap dispenser faulty.,,,2/28/2017 11:30,3/1/2017 11:27,PE review required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:27,,Ms Wati,The JTC Summit,Feedback,Sanitory Plumbing,Toilet,,DEFECTS: Toilet water overflow,Piston faulty. Replaced new piston.,,,,3/8/2017 11:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:29,,,Matrix,Others/Request for Information,Building,,,Floor Cracks,"a) Carpark lots 182 to 186: To seal using backer rod and hi-build sealant to existing expansion joint
b) Carpark lots 287 to 289: To seal using backer rod and hi-build sealant to existing expansion joint
c) #04 Corridor: To seal up wall cracks and repaint and refix the loose skirting tiles
d) #09 Lift Lobby: To seal up wall cracks and repaint 
e) #02 G/T: To repair the plaster ceiling board and repaint the ceiling
RA: BD/GF/16/34 SO:17-73314 FEMS:12002.01",,,2/28/2017 11:45,3/15/2017 10:52,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:39,,Ms Mardia,The JTC Summit,Feedback,ACMV,Toilet,No,OTHERS: No air ventilation,"Exhaust fan not working. Turned on manual mode fan is running, BMS controller offline.",,,,3/8/2017 11:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:47,,,Helios,Feedback,Building,Office,,Window leak (rain/water),"#12-03/04: To seal up from external cladding using hi-built silicon and backer rod due to water seepage
RA: BD/GF/34 SO:17-73315 FEMS:12007.01",,,2/28/2017 11:56,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:52,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,SYMBIOSIS,Feedback,lighting,,,Replace light tube/bulb,Symbiosis Level 20 inside domestic water tank room exit light blown.,,,2/28/2017 11:59,3/4/2017 15:00,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 11:57,,,Nanos,Others/Request for Information,Pneumatic Waste Collection System,DVR Room,,Half yearly replacement of dust and deo filters for PWCS,Replacement of half yearly dust and deo filter for PWCS room.  RA: PWCS/ENVAC/RA01 SO:17-73318 FEMS:12009.00,,,2/28/2017 12:05,3/14/2017 16:51,PROMPT latest SE created and atttachment sent,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 12:00,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,SYMBIOSIS,Feedback,lighting,,,Replace light tube/bulb,Symbiosis Level 22 Male Toilet  C#1 ceiling light cubicle.,,,2/28/2017 12:05,3/4/2017 15:01,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 13:43,,,Helios,Feedback,Building,,,Window leak (rain/water),"#12-07/08 (Invitrocue) and #09-08 (Moleac): To repair the leaking by sealing up using hi-build sealant to seal up the gap from the facade cladding and using backer rod and install plastic sheet to cover up the aluminium lourvers due to water seepage.
RA: BD/GF/34 SO:17-73319 FEMS: 12011.01",,,2/28/2017 13:50,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 13:44,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North Level 21 PL lobby ceiling light blown,,,2/28/2017 13:47,3/2/2017 19:22,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 13:48,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North Level 16 Staircase F ceiling light blown.,,,2/28/2017 13:51,3/2/2017 19:23,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 13:51,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North Level 13 Stairecase E ceiling light blown.,,,2/28/2017 13:56,3/2/2017 19:23,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 13:57,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis North Level 12 Staircase E ceiling light blown.,,,2/28/2017 14:00,3/2/2017 19:24,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:00,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South Level 8 PL Lobby ceiling light blown,,,2/28/2017 14:04,3/2/2017 19:24,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:05,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South Level 13 PL lobby ceiling light blown.,,,2/28/2017 14:08,3/2/2017 19:24,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:13,,,Matrix,Others/Request for Information,Building,,,Procurement of nametags,"To procure nametags (Service Partner of JTC) 20x70mm plastic nametag + epoxy + magnet round corner.
RA:BD/GF/39",,,2/28/2017 14:19,3/14/2017 16:34,PE review required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:21,,,Centros,Feedback,Sanitory Plumbing,,,To supply and install 1 no. of 50GPM Canplas Grease Interceptor,"BigMama feedback on water backflow to their unit due to their sanitary waste pipe line is choked.  The pipeline is long and tenants have difficulties in clearing the pipeline from the grease interceptor.  Thus, we need to redivert the pipe line to the dvr room at b1 and install 1 no. of 50GPM Canplas Grease interceptor.  RA: SA/GF/13 SO:17-73307 FEMS:12019.00",,,2/28/2017 14:25,,PE check required,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:22,,Ms Winnie,The JTC Summit,Feedback,Air Conditioning,,No,OTHERS: No Aircon,"Actuator valve jammed at 25% opening. Tested valve command, monitor, back to normal. Operating at 55% opening.",,,,3/8/2017 11:07,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2017 14:28,,,Helios,Feedback,Building,,,Window leak (rain/water),"#09-04 (Illumina) & #09-12 (EHI): To repair the leaking by sealing up using hi-build sealant to seal up the gap from the facade cladding and using backer rod and install plastic sheet to cover up the aluminium lourvers due to water seepage.
RA: BD/GF/34 SO:17-73320 FEMS:12022.01",,,2/28/2017 14:36,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
